year,population,gdp,co2,co2_per_capita,co2_including_luc,cumulative_co2,coal_co2,oil_co2,gas_co2,energy_per_capita,primary_energy_consumption,total_ghg,methane,nitrous_oxide,temperature_change_from_co2,temperature_change_from_ghg
1880,1414583216.0,,858.228,0.607,4481.337,18706.131,842.695,15.36,,,,6267.865,1544.166,245.11,0.047,0.064
1881,1423919001.0,,888.173,0.624,4491.63,19594.303,870.726,17.239,,,,6298.316,1561.769,247.807,0.049,0.067
1882,1433850986.0,,938.158,0.654,4621.833,20532.461,918.787,18.936,0.165,,,6448.854,1579.738,250.13,0.051,0.07
1883,1444371648.0,,997.862,0.691,4742.019,21530.324,980.636,16.498,0.381,,,6590.572,1599.377,252.155,0.053,0.073
1884,1455021634.0,,1009.762,0.694,4759.06,22540.088,989.938,18.319,1.172,,,6621.438,1611.351,253.957,0.055,0.076
1885,1465857041.0,,1017.489,0.694,4772.625,23557.576,994.473,18.956,3.715,,,6648.329,1623.198,255.61,0.057,0.079
1886,1476798447.0,,1032.987,0.699,4783.079,24590.562,1003.117,21.821,7.676,,,6673.521,1636.286,257.19,0.06,0.082
1887,1487893376.0,,1084.283,0.729,4893.109,25674.846,1048.46,23.479,11.787,,,6803.576,1654.795,258.773,0.062,0.085
1888,1499115427.0,,1201.342,0.801,5001.777,26876.189,1159.449,24.578,16.774,,,6938.952,1679.947,260.432,0.064,0.088
1889,1510109709.0,,1202.098,0.796,5037.133,28078.285,1160.885,28.404,12.227,,,6988.416,1692.237,262.244,0.066,0.091
1890,1520891633.0,,1307.255,0.86,5423.613,29385.541,1260.254,34.648,11.688,,,7410.932,1718.415,272.135,0.069,0.095
1891,1531425085.0,,1369.598,0.894,5575.736,30755.139,1319.138,40.829,8.947,,,7585.248,1737.446,275.376,0.071,0.098
1892,1541712153.0,,1380.536,0.895,5562.223,32135.676,1331.829,40.204,7.775,,,7588.023,1750.336,278.739,0.074,0.101
1893,1551756342.0,,1363.18,0.878,5582.068,33498.855,1312.683,42.544,7.288,,,7618.795,1757.747,282.182,0.076,0.105
1894,1561938512.0,,1412.227,0.904,5715.95,34911.086,1363.137,41.697,6.698,,,7775.792,1777.388,285.662,0.079,0.108
1895,1572272041.0,,1495.964,0.951,5786.031,36407.047,1439.659,48.536,7.042,,,7872.411,1800.448,289.137,0.081,0.112
1896,1582693744.0,,1545.451,0.976,5850.712,37952.496,1485.244,52.568,6.848,,,7957.284,1817.2,292.564,0.084,0.116
1897,1593261169.0,,1618.405,1.016,5993.856,39570.902,1554.677,55.527,7.288,,,8125.195,1838.674,295.9,0.087,0.119
1898,1603953574.0,,1706.967,1.064,6098.222,41277.871,1640.331,57.169,8.46,,,8255.487,1861.349,299.103,0.09,0.123
1899,1615300901.0,,1864.424,1.154,6291.44,43142.293,1792.204,60.026,10.904,,,8483.32,1892.905,302.13,0.092,0.127
1900,1627273655.0,3503708270156.0,1962.884,1.206,6423.621,45105.176,1882.645,67.303,11.542,,,8644.852,1919.446,304.938,0.095,0.131
1901,1639887187.0,,2025.628,1.235,6611.075,47130.805,1936.356,74.746,12.861,,,8856.1,1940.271,307.869,0.098,0.135
1902,1653151632.0,,2076.956,1.256,6704.71,49207.762,1980.299,80.803,13.696,,,8970.866,1957.994,311.228,0.101,0.139
