Year,Glob,NHem,SHem,N. Extratropics,Tropics,S. Extratropics,Arctic,N. Temperate,N. Subtropics,N. Tropics,S. Tropics,S. Subtropics,S. Temperate,Antarctic
2003,0.031,-0.122,0.183,-0.318,0.189,0.168,-0.97,-0.03,-0.292,0.171,0.206,-0.013,0.385,0.277
2004,-0.066,-0.146,0.014,-0.288,0.019,0.042,-1.365,-0.047,-0.089,0.067,-0.028,-0.005,0.174,-0.081
2005,0.073,0.04,0.105,-0.002,0.111,0.096,-0.17,0.301,-0.148,0.104,0.118,-0.086,0.145,0.543
2006,-0.032,-0.038,-0.026,-0.048,-0.068,0.032,-0.211,0.039,-0.051,-0.022,-0.113,-0.038,0.074,0.161
2007,-0.029,-0.016,-0.042,0.055,-0.118,0.006,0.095,0.2,-0.055,-0.121,-0.114,-0.108,-0.021,0.404
2008,-0.171,-0.212,-0.129,-0.167,-0.247,-0.073,-0.529,0.004,-0.161,-0.279,-0.214,-0.058,0.026,-0.314
2009,-0.061,-0.195,0.074,-0.357,0.032,0.113,-0.712,-0.511,-0.136,0.047,0.016,0.002,0.176,0.319
2010,-0.001,0.038,-0.04,0.001,0.038,-0.055,0.205,-0.054,-0.03,0.093,-0.018,-0.088,0.151,-0.365
2011,-0.09,-0.125,-0.056,-0.078,-0.26,0.125,0.194,-0.1,-0.154,-0.195,-0.326,-0.017,0.164,0.47
2012,-0.063,-0.076,-0.05,-0.031,-0.097,-0.051,0.32,-0.163,-0.059,-0.144,-0.049,-0.046,-0.005,-0.156
2013,-0.054,-0.123,0.014,-0.141,-0.061,0.041,-0.534,-0.113,-0.029,-0.096,-0.026,0.028,0.022,0.122
2014,0.043,0.064,0.023,0.026,0.072,0.022,-0.136,0.056,0.06,0.121,0.024,0.125,-0.042,-0.16
2015,0.13,0.239,0.022,0.203,0.274,-0.134,-0.203,0.406,0.204,0.292,0.257,0.133,-0.307,-0.591
2016,0.295,0.406,0.183,0.489,0.367,0.005,1.301,0.275,0.36,0.283,0.451,0.028,-0.164,0.272
2017,0.176,0.241,0.11,0.291,0.141,0.107,0.296,0.256,0.312,0.166,0.116,0.167,0.014,0.113
2018,0.069,0.085,0.053,0.115,0.016,0.094,0.198,-0.069,0.21,0.04,-0.009,0.135,-0.122,0.403
2019,0.259,0.312,0.206,0.347,0.307,0.107,0.698,0.388,0.204,0.258,0.355,0.25,-0.297,0.486
2020,0.266,0.433,0.1,0.589,0.196,0.037,0.835,0.733,0.412,0.198,0.194,0.013,-0.099,0.383
2021,0.117,0.226,0.009,0.317,0.056,-0.001,-0.197,0.277,0.515,0.09,0.022,0.106,-0.156,-0.011
2022,0.144,0.26,0.028,0.423,-0.025,0.09,0.345,0.401,0.464,0.015,-0.065,0.063,-0.025,0.402
2023,0.401,0.497,0.306,0.534,0.416,0.249,0.323,0.686,0.503,0.442,0.39,0.242,0.139,0.493
2024,0.406,0.569,0.244,0.636,0.461,0.103,0.514,0.738,0.609,0.467,0.455,0.059,0.066,0.308
2025,0.156,0.311,0.001,0.514,0.029,-0.032,1.013,0.616,0.279,0.006,0.051,-0.036,-0.356,0.629
