Year,zone,valeur
2003,Arctic,-0.97
2004,Arctic,-1.365
2005,Arctic,-0.17
2006,Arctic,-0.211
2007,Arctic,0.095
2008,Arctic,-0.529
2009,Arctic,-0.712
2010,Arctic,0.205
2011,Arctic,0.194
2012,Arctic,0.32
2013,Arctic,-0.534
2014,Arctic,-0.136
2015,Arctic,-0.203
2016,Arctic,1.301
2017,Arctic,0.296
2018,Arctic,0.198
2019,Arctic,0.698
2020,Arctic,0.835
2021,Arctic,-0.197
2022,Arctic,0.345
2023,Arctic,0.323
2024,Arctic,0.514
2025,Arctic,1.013
2003,N. Temperate,-0.03
2004,N. Temperate,-0.047
2005,N. Temperate,0.301
2006,N. Temperate,0.039
2007,N. Temperate,0.2
2008,N. Temperate,0.004
2009,N. Temperate,-0.511
2010,N. Temperate,-0.054
2011,N. Temperate,-0.1
2012,N. Temperate,-0.163
2013,N. Temperate,-0.113
2014,N. Temperate,0.056
2015,N. Temperate,0.406
2016,N. Temperate,0.275
2017,N. Temperate,0.256
2018,N. Temperate,-0.069
2019,N. Temperate,0.388
2020,N. Temperate,0.733
2021,N. Temperate,0.277
2022,N. Temperate,0.401
2023,N. Temperate,0.686
2024,N. Temperate,0.738
2025,N. Temperate,0.616
2003,N. Subtropics,-0.292
2004,N. Subtropics,-0.089
2005,N. Subtropics,-0.148
2006,N. Subtropics,-0.051
2007,N. Subtropics,-0.055
2008,N. Subtropics,-0.161
2009,N. Subtropics,-0.136
2010,N. Subtropics,-0.03
2011,N. Subtropics,-0.154
2012,N. Subtropics,-0.059
2013,N. Subtropics,-0.029
2014,N. Subtropics,0.06
2015,N. Subtropics,0.204
2016,N. Subtropics,0.36
2017,N. Subtropics,0.312
2018,N. Subtropics,0.21
2019,N. Subtropics,0.204
2020,N. Subtropics,0.412
2021,N. Subtropics,0.515
2022,N. Subtropics,0.464
2023,N. Subtropics,0.503
2024,N. Subtropics,0.609
2025,N. Subtropics,0.279
2003,N. Tropics,0.171
2004,N. Tropics,0.067
2005,N. Tropics,0.104
2006,N. Tropics,-0.022
2007,N. Tropics,-0.121
2008,N. Tropics,-0.279
2009,N. Tropics,0.047
2010,N. Tropics,0.093
2011,N. Tropics,-0.195
2012,N. Tropics,-0.144
2013,N. Tropics,-0.096
2014,N. Tropics,0.121
2015,N. Tropics,0.292
2016,N. Tropics,0.283
2017,N. Tropics,0.166
2018,N. Tropics,0.04
2019,N. Tropics,0.258
2020,N. Tropics,0.198
2021,N. Tropics,0.09
2022,N. Tropics,0.015
2023,N. Tropics,0.442
2024,N. Tropics,0.467
2025,N. Tropics,0.006
2003,S. Tropics,0.206
2004,S. Tropics,-0.028
2005,S. Tropics,0.118
2006,S. Tropics,-0.113
2007,S. Tropics,-0.114
2008,S. Tropics,-0.214
2009,S. Tropics,0.016
2010,S. Tropics,-0.018
2011,S. Tropics,-0.326
2012,S. Tropics,-0.049
2013,S. Tropics,-0.026
2014,S. Tropics,0.024
2015,S. Tropics,0.257
2016,S. Tropics,0.451
2017,S. Tropics,0.116
2018,S. Tropics,-0.009
2019,S. Tropics,0.355
2020,S. Tropics,0.194
2021,S. Tropics,0.022
2022,S. Tropics,-0.065
2023,S. Tropics,0.39
2024,S. Tropics,0.455
2025,S. Tropics,0.051
2003,S. Subtropics,-0.013
2004,S. Subtropics,-0.005
2005,S. Subtropics,-0.086
2006,S. Subtropics,-0.038
2007,S. Subtropics,-0.108
2008,S. Subtropics,-0.058
2009,S. Subtropics,0.002
2010,S. Subtropics,-0.088
2011,S. Subtropics,-0.017
2012,S. Subtropics,-0.046
2013,S. Subtropics,0.028
2014,S. Subtropics,0.125
2015,S. Subtropics,0.133
2016,S. Subtropics,0.028
2017,S. Subtropics,0.167
2018,S. Subtropics,0.135
2019,S. Subtropics,0.25
2020,S. Subtropics,0.013
2021,S. Subtropics,0.106
2022,S. Subtropics,0.063
2023,S. Subtropics,0.242
2024,S. Subtropics,0.059
2025,S. Subtropics,-0.036
2003,S. Temperate,0.385
2004,S. Temperate,0.174
2005,S. Temperate,0.145
2006,S. Temperate,0.074
2007,S. Temperate,-0.021
2008,S. Temperate,0.026
2009,S. Temperate,0.176
2010,S. Temperate,0.151
2011,S. Temperate,0.164
2012,S. Temperate,-0.005
2013,S. Temperate,0.022
2014,S. Temperate,-0.042
2015,S. Temperate,-0.307
2016,S. Temperate,-0.164
2017,S. Temperate,0.014
2018,S. Temperate,-0.122
2019,S. Temperate,-0.297
2020,S. Temperate,-0.099
2021,S. Temperate,-0.156
2022,S. Temperate,-0.025
2023,S. Temperate,0.139
2024,S. Temperate,0.066
2025,S. Temperate,-0.356
2003,Antarctic,0.277
2004,Antarctic,-0.081
2005,Antarctic,0.543
2006,Antarctic,0.161
2007,Antarctic,0.404
2008,Antarctic,-0.314
2009,Antarctic,0.319
2010,Antarctic,-0.365
2011,Antarctic,0.47
2012,Antarctic,-0.156
2013,Antarctic,0.122
2014,Antarctic,-0.16
2015,Antarctic,-0.591
2016,Antarctic,0.272
2017,Antarctic,0.113
2018,Antarctic,0.403
2019,Antarctic,0.486
2020,Antarctic,0.383
2021,Antarctic,-0.011
2022,Antarctic,0.402
2023,Antarctic,0.493
2024,Antarctic,0.308
2025,Antarctic,0.629
2003,Glob,0.031
2004,Glob,-0.066
2005,Glob,0.073
2006,Glob,-0.032
2007,Glob,-0.029
2008,Glob,-0.171
2009,Glob,-0.061
2010,Glob,-0.001
2011,Glob,-0.09
2012,Glob,-0.063
2013,Glob,-0.054
2014,Glob,0.043
2015,Glob,0.13
2016,Glob,0.295
2017,Glob,0.176
2018,Glob,0.069
2019,Glob,0.259
2020,Glob,0.266
2021,Glob,0.117
2022,Glob,0.144
2023,Glob,0.401
2024,Glob,0.406
2025,Glob,0.156
2003,NHem,-0.122
2004,NHem,-0.146
2005,NHem,0.04
2006,NHem,-0.038
2007,NHem,-0.016
2008,NHem,-0.212
2009,NHem,-0.195
2010,NHem,0.038
2011,NHem,-0.125
2012,NHem,-0.076
2013,NHem,-0.123
2014,NHem,0.064
2015,NHem,0.239
2016,NHem,0.406
2017,NHem,0.241
2018,NHem,0.085
2019,NHem,0.312
2020,NHem,0.433
2021,NHem,0.226
2022,NHem,0.26
2023,NHem,0.497
2024,NHem,0.569
2025,NHem,0.311
2003,SHem,0.183
2004,SHem,0.014
2005,SHem,0.105
2006,SHem,-0.026
2007,SHem,-0.042
2008,SHem,-0.129
