Year,Glob,NHem,SHem,N. Extratropics,Tropics,S. Extratropics,Arctic,N. Temperate,N. Subtropics,N. Tropics,S. Tropics,S. Subtropics,S. Temperate,Antarctic
1880,-0.18,-0.3,-0.05,-0.4,-0.14,-0.02,-0.81,-0.53,-0.3,-0.16,-0.11,-0.04,0.05,0.69
1881,-0.1,-0.2,0.0,-0.37,0.09,-0.07,-0.92,-0.49,-0.21,0.09,0.1,-0.06,-0.07,0.61
1882,-0.12,-0.23,-0.01,-0.33,-0.06,0.01,-1.41,-0.3,-0.17,-0.06,-0.05,0.01,0.04,0.64
1883,-0.18,-0.29,-0.07,-0.36,-0.17,-0.01,-0.18,-0.57,-0.27,-0.19,-0.16,-0.04,0.07,0.52
1884,-0.29,-0.44,-0.15,-0.62,-0.15,-0.14,-1.31,-0.66,-0.48,-0.14,-0.17,-0.19,-0.02,0.67
1885,-0.34,-0.45,-0.24,-0.67,-0.14,-0.27,-1.5,-0.7,-0.47,-0.08,-0.21,-0.33,-0.15,0.84
1886,-0.32,-0.45,-0.2,-0.58,-0.21,-0.21,-1.59,-0.52,-0.41,-0.23,-0.19,-0.2,-0.2,0.61
1887,-0.37,-0.45,-0.29,-0.53,-0.32,-0.28,-1.76,-0.52,-0.3,-0.34,-0.31,-0.27,-0.26,0.34
1888,-0.18,-0.25,-0.11,-0.43,0.08,-0.28,-1.3,-0.45,-0.25,0.03,0.14,-0.31,-0.22,0.17
1889,-0.11,-0.19,-0.04,-0.3,0.06,-0.16,-0.68,-0.24,-0.28,-0.02,0.15,-0.15,-0.15,0.46
1890,-0.36,-0.4,-0.32,-0.47,-0.38,-0.22,-1.14,-0.58,-0.28,-0.3,-0.47,-0.17,-0.27,0.17
1891,-0.23,-0.27,-0.19,-0.42,-0.09,-0.21,-1.11,-0.34,-0.36,-0.02,-0.17,-0.18,-0.24,-0.14
1892,-0.28,-0.4,-0.15,-0.43,-0.31,-0.08,-1.11,-0.66,-0.17,-0.36,-0.26,0.02,-0.21,0.11
1893,-0.32,-0.48,-0.15,-0.5,-0.38,-0.04,-0.66,-0.55,-0.46,-0.45,-0.31,0.07,-0.2,-0.03
1894,-0.31,-0.4,-0.22,-0.33,-0.36,-0.23,-0.97,-0.34,-0.18,-0.52,-0.2,-0.14,-0.35,-0.36
1895,-0.24,-0.32,-0.15,-0.41,-0.09,-0.25,-0.73,-0.54,-0.27,-0.17,-0.01,-0.19,-0.32,-0.57
1896,-0.12,-0.22,-0.03,-0.36,0.07,-0.15,-0.93,-0.39,-0.23,0.01,0.14,-0.15,-0.13,0.27
