Year,zone,valeur
1880,Arctic,-0.81
1881,Arctic,-0.92
1882,Arctic,-1.41
1883,Arctic,-0.18
1884,Arctic,-1.31
1885,Arctic,-1.5
1886,Arctic,-1.59
1887,Arctic,-1.76
1888,Arctic,-1.3
1889,Arctic,-0.68
1890,Arctic,-1.14
1891,Arctic,-1.11
1892,Arctic,-1.11
1893,Arctic,-0.66
1894,Arctic,-0.97
1895,Arctic,-0.73
1896,Arctic,-0.93
1897,Arctic,-0.59
1898,Arctic,-1.2
1899,Arctic,-1.09
1900,Arctic,-0.6
1901,Arctic,-0.42
1902,Arctic,-1.57
1903,Arctic,-0.27
1904,Arctic,-0.25
1905,Arctic,-0.09
1906,Arctic,-0.31
1907,Arctic,-0.62
1908,Arctic,-0.27
1909,Arctic,-0.77
1910,Arctic,-0.63
1911,Arctic,-0.29
1912,Arctic,-0.53
1913,Arctic,-0.49
1914,Arctic,-0.39
1915,Arctic,-0.62
1916,Arctic,-0.54
1917,Arctic,-0.84
1918,Arctic,-1.04
1919,Arctic,-0.72
1920,Arctic,-0.04
1921,Arctic,-0.03
1922,Arctic,-0.3
1923,Arctic,0.17
1924,Arctic,0.5
1925,Arctic,-0.06
1926,Arctic,0.57
1927,Arctic,0.03
1928,Arctic,0.66
1929,Arctic,0.12
1930,Arctic,0.5
1931,Arctic,0.56
1932,Arctic,0.46
1933,Arctic,-0.15
1934,Arctic,0.89
1935,Arctic,0.33
1936,Arctic,0.41
1937,Arctic,1.23
1938,Arctic,1.52
1939,Arctic,0.55
1940,Arctic,0.99
1941,Arctic,0.01
1942,Arctic,0.72
1943,Arctic,1.43
1944,Arctic,1.18
1945,Arctic,0.65
1946,Arctic,-0.03
1947,Arctic,1.07
1948,Arctic,0.12
1949,Arctic,0.2
1950,Arctic,0.18
1951,Arctic,0.07
1952,Arctic,0.27
1953,Arctic,1.03
1954,Arctic,0.8
1955,Arctic,-0.23
1956,Arctic,0.01
1957,Arctic,0.09
1958,Arctic,-0.18
1959,Arctic,0.49
1960,Arctic,0.34
1961,Arctic,-0.16
1962,Arctic,0.44
1963,Arctic,-0.16
1964,Arctic,-0.66
1965,Arctic,-0.28
1966,Arctic,-0.76
1967,Arctic,0.36
1968,Arctic,-0.33
1969,Arctic,-0.04
1970,Arctic,-0.2
1971,Arctic,-0.08
1972,Arctic,-0.37
1973,Arctic,0.06
1974,Arctic,-0.19
1975,Arctic,0.1
1976,Arctic,-0.08
1977,Arctic,0.16
1978,Arctic,-0.16
1979,Arctic,-0.61
1980,Arctic,0.25
1981,Arctic,1.09
1982,Arctic,-0.4
1983,Arctic,0.18
1984,Arctic,0.36
1985,Arctic,0.39
1986,Arctic,0.0
1987,Arctic,-0.36
1988,Arctic,0.59
1989,Arctic,0.32
1990,Arctic,0.58
1991,Arctic,0.75
1992,Arctic,-0.17
1993,Arctic,0.54
1994,Arctic,0.34
1995,Arctic,1.31
1996,Arctic,0.76
1997,Arctic,0.76
1998,Arctic,0.86
1999,Arctic,0.4
2000,Arctic,0.97
2001,Arctic,1.06
2002,Arctic,1.25
2003,Arctic,1.5
2004,Arctic,0.46
2005,Arctic,1.99
2006,Arctic,1.76
2007,Arctic,2.08
2008,Arctic,1.53
2009,Arctic,1.42
2010,Arctic,2.24
2011,Arctic,2.32
2012,Arctic,2.13
2013,Arctic,1.53
2014,Arctic,2.05
2015,Arctic,2.02
2016,Arctic,3.25
2017,Arctic,2.5
2018,Arctic,2.16
