Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.18,-.30,-.05,-.40,-.14,-.02,-.81,-.53,-.30,-.16,-.11,-.04,.05,.69
1881,-.10,-.20,.00,-.37,.09,-.07,-.92,-.49,-.21,.09,.10,-.06,-.07,.61
1882,-.12,-.23,-.01,-.33,-.06,.01,-1.41,-.30,-.17,-.06,-.05,.01,.04,.64
1883,-.18,-.29,-.07,-.36,-.17,-.01,-.18,-.57,-.27,-.19,-.16,-.04,.07,.52
1884,-.29,-.44,-.15,-.62,-.15,-.14,-1.31,-.66,-.48,-.14,-.17,-.19,-.02,.67
1885,-.34,-.45,-.24,-.67,-.14,-.27,-1.50,-.70,-.47,-.08,-.21,-.33,-.15,.84
1886,-.32,-.45,-.20,-.58,-.21,-.21,-1.59,-.52,-.41,-.23,-.19,-.20,-.20,.61
1887,-.37,-.45,-.29,-.53,-.32,-.28,-1.76,-.52,-.30,-.34,-.31,-.27,-.26,.34
1888,-.18,-.25,-.11,-.43,.08,-.28,-1.30,-.45,-.25,.03,.14,-.31,-.22,.17
1889,-.11,-.19,-.04,-.30,.06,-.16,-.68,-.24,-.28,-.02,.15,-.15,-.15,.46
1890,-.36,-.40,-.32,-.47,-.38,-.22,-1.14,-.58,-.28,-.30,-.47,-.17,-.27,.17
1891,-.23,-.27,-.19,-.42,-.09,-.21,-1.11,-.34,-.36,-.02,-.17,-.18,-.24,-.14
1892,-.28,-.40,-.15,-.43,-.31,-.08,-1.11,-.66,-.17,-.36,-.26,.02,-.21,.11
1893,-.32,-.48,-.15,-.50,-.38,-.04,-.66,-.55,-.46,-.45,-.31,.07,-.20,-.03
1894,-.31,-.40,-.22,-.33,-.36,-.23,-.97,-.34,-.18,-.52,-.20,-.14,-.35,-.36
1895,-.24,-.32,-.15,-.41,-.09,-.25,-.73,-.54,-.27,-.17,-.01,-.19,-.32,-.57
1896,-.12,-.22,-.03,-.36,.07,-.15,-.93,-.39,-.23,.01,.14,-.15,-.13,.27
1897,-.12,-.19,-.05,-.37,.14,-.23,-.59,-.48,-.25,.10,.19,-.19,-.27,.42
1898,-.29,-.31,-.26,-.37,-.24,-.26,-1.20,-.26,-.24,-.22,-.27,-.27,-.21,.39
1899,-.19,-.23,-.14,-.25,-.14,-.18,-1.09,-.11,-.15,-.19,-.09,-.15,-.22,.60
1900,-.09,-.11,-.07,-.22,.15,-.30,-.60,-.18,-.16,.06,.24,-.28,-.29,.29
1901,-.17,-.14,-.19,-.18,-.06,-.30,-.42,-.13,-.15,-.09,-.03,-.27,-.33,.28
1902,-.29,-.35,-.23,-.55,-.06,-.35,-1.57,-.53,-.32,-.05,-.07,-.28,-.43,-.03
1903,-.38,-.40,-.37,-.48,-.31,-.38,-.27,-.44,-.57,-.27,-.35,-.35,-.40,-.49
1904,-.48,-.50,-.46,-.53,-.48,-.44,-.25,-.62,-.56,-.47,-.50,-.37,-.49,-1.31
1905,-.27,-.31,-.23,-.42,-.10,-.36,-.09,-.25,-.63,-.14,-.07,-.33,-.37,-.33
1906,-.23,-.25,-.21,-.27,-.21,-.23,-.31,-.08,-.39,-.23,-.19,-.20,-.22,-.71
1907,-.40,-.49,-.31,-.60,-.32,-.29,-.62,-.74,-.52,-.32,-.32,-.21,-.37,-1.19
1908,-.44,-.47,-.41,-.49,-.46,-.36,-.27,-.56,-.51,-.45,-.47,-.29,-.48,.68
1909,-.50,-.51,-.48,-.54,-.50,-.44,-.77,-.64,-.44,-.47,-.54,-.37,-.52,-.56
1910,-.45,-.46,-.44,-.43,-.51,-.38,-.63,-.25,-.49,-.51,-.51,-.33,-.45,.16
1911,-.45,-.44,-.47,-.43,-.45,-.48,-.29,-.43,-.47,-.45,-.46,-.44,-.52,.06
1912,-.38,-.48,-.26,-.60,-.22,-.37,-.53,-.80,-.50,-.31,-.12,-.37,-.29,-1.63
1913,-.35,-.44,-.27,-.45,-.29,-.35,-.49,-.34,-.51,-.42,-.16,-.28,-.40,-1.03
1914,-.16,-.21,-.11,-.25,-.08,-.18,-.39,-.18,-.28,-.14,-.03,-.15,-.18,-.36
1915,-.15,-.15,-.14,-.24,-.02,-.22,-.62,-.18,-.18,-.02,-.03,-.15,-.23,-1.98
1916,-.37,-.43,-.31,-.38,-.46,-.23,-.54,-.56,-.24,-.51,-.42,-.23,-.17,-1.04
1917,-.47,-.59,-.36,-.51,-.65,-.19,-.84,-.52,-.43,-.70,-.59,-.23,-.09,.07
1918,-.30,-.41,-.21,-.42,-.35,-.14,-1.04,-.29,-.35,-.40,-.30,-.06,-.22,-.28
1919,-.28,-.36,-.21,-.44,-.21,-.22,-.72,-.57,-.30,-.24,-.18,-.15,-.32,.20
1920,-.28,-.31,-.24,-.26,-.27,-.32,-.04,-.22,-.35,-.39,-.14,-.19,-.48,-1.14
1921,-.20,-.12,-.27,.00,-.27,-.31,-.03,.16,-.10,-.31,-.23,-.23,-.38,-.83
1922,-.29,-.28,-.30,-.25,-.33,-.27,-.30,-.42,-.14,-.34,-.33,-.24,-.28,-.27
1923,-.27,-.23,-.31,-.16,-.31,-.34,.17,-.16,-.26,-.33,-.29,-.27,-.41,-.54
1924,-.28,-.19,-.36,-.13,-.27,-.43,.50,-.26,-.23,-.28,-.26,-.40,-.45,-.53
1925,-.23,-.15,-.30,-.04,-.25,-.38,-.06,.16,-.19,-.29,-.22,-.25,-.55,-.86
1926,-.11,.01,-.22,.02,.00,-.40,.57,.15,-.22,-.01,.01,-.35,-.45,-.63
1927,-.22,-.14,-.30,-.13,-.17,-.38,.03,-.23,-.13,-.15,-.19,-.31,-.45,-1.38
1928,-.21,-.11,-.29,-.08,-.16,-.39,.66,-.18,-.23,-.16,-.17,-.29,-.48,-2.12
1929,-.37,-.34,-.38,-.38,-.29,-.45,.12,-.62,-.38,-.29,-.29,-.43,-.44,-1.07
1930,-.16,-.02,-.29,.04,-.12,-.42,.50,.04,-.11,-.10,-.13,-.33,-.46,-2.59
1931,-.10,.04,-.22,.01,.07,-.43,.56,-.04,-.14,.09,.05,-.42,-.40,-.41
1932,-.17,-.07,-.26,.03,-.17,-.35,.46,.19,-.22,-.20,-.14,-.21,-.53,-.98
1933,-.29,-.26,-.32,-.24,-.29,-.34,-.15,-.47,-.13,-.29,-.29,-.22,-.48,-1.14
1934,-.13,-.01,-.25,.17,-.26,-.26,.89,.31,-.13,-.27,-.25,-.16,-.38,-.56
1935,-.20,-.10,-.30,-.05,-.19,-.37,.33,-.05,-.17,-.18,-.20,-.31,-.41,-1.71
1936,-.15,-.04,-.26,-.03,-.14,-.30,.41,.11,-.26,-.06,-.21,-.27,-.32,-.03
1937,-.03,.11,-.18,.19,-.06,-.22,1.23,.03,-.03,.00,-.12,-.19,-.25,.37
1938,.00,.16,-.18,.39,-.23,-.10,1.52,.39,.03,-.19,-.27,-.06,-.11,-.86
1939,-.02,.08,-.13,.22,-.13,-.12,.55,.28,.08,-.13,-.13,-.05,-.18,-1.60
1940,.12,.16,.09,.10,.27,-.07,.99,-.02,-.10,.25,.29,.03,-.20,-.05
1941,.18,.22,.16,.01,.48,-.05,.01,-.10,.08,.53,.43,.03,-.15,-.46
1942,.06,.11,.01,.12,.07,-.01,.72,-.07,.05,.10,.03,.05,-.05,-.90
1943,.08,.17,-.01,.37,-.10,.04,1.43,.28,.11,-.12,-.07,.07,.00,1.14
1944,.20,.27,.14,.38,.18,.05,1.18,.47,.10,.10,.26,.18,-.09,-.97
1945,.09,.11,.09,.11,.17,-.03,.65,-.02,.04,.10,.24,.04,.00,-1.81
1946,-.07,.03,-.17,.06,-.05,-.24,-.03,-.05,.17,-.03,-.08,-.22,-.24,-.21
1947,-.03,.08,-.13,.16,-.06,-.16,1.07,-.13,.04,-.03,-.09,-.19,-.08,-.23
1948,-.11,-.02,-.20,.13,-.18,-.24,.12,.32,.01,-.23,-.14,-.19,-.19,-1.42
1949,-.11,-.03,-.19,.11,-.19,-.23,.20,.17,.05,-.23,-.15,-.17,-.15,-2.02
1950,-.18,-.15,-.21,-.05,-.29,-.14,.18,-.30,.04,-.30,-.28,-.06,-.16,-.86
1951,-.07,.04,-.18,.08,-.06,-.23,.07,.01,.12,-.01,-.12,-.22,-.16,-.70
