Year,périodes,valeur
1880,Jan,-0.19
1881,Jan,-0.21
1882,Jan,0.15
1883,Jan,-0.3
1884,Jan,-0.14
1885,Jan,-0.59
1886,Jan,-0.44
1887,Jan,-0.73
1888,Jan,-0.34
1889,Jan,-0.1
1890,Jan,-0.43
1891,Jan,-0.34
1892,Jan,-0.29
1893,Jan,-0.81
1894,Jan,-0.53
1895,Jan,-0.42
1896,Jan,-0.24
1897,Jan,-0.17
1898,Jan,-0.04
1899,Jan,-0.18
1900,Jan,-0.37
1901,Jan,-0.23
1902,Jan,-0.17
1903,Jan,-0.25
1904,Jan,-0.64
1905,Jan,-0.36
1906,Jan,-0.29
1907,Jan,-0.44
1908,Jan,-0.46
1909,Jan,-0.74
1910,Jan,-0.44
1911,Jan,-0.63
1912,Jan,-0.27
1913,Jan,-0.41
1914,Jan,0.03
1915,Jan,-0.21
1916,Jan,-0.14
1917,Jan,-0.58
1918,Jan,-0.48
1919,Jan,-0.21
1920,Jan,-0.26
1921,Jan,-0.05
1922,Jan,-0.35
1923,Jan,-0.28
1924,Jan,-0.23
1925,Jan,-0.39
1926,Jan,0.2
1927,Jan,-0.28
1928,Jan,-0.03
1929,Jan,-0.46
1930,Jan,-0.31
1931,Jan,-0.11
1932,Jan,0.14
1933,Jan,-0.24
1934,Jan,-0.22
1935,Jan,-0.34
1936,Jan,-0.28
1937,Jan,-0.08
1938,Jan,0.08
1939,Jan,-0.06
1940,Jan,-0.01
1941,Jan,0.17
1942,Jan,0.29
1943,Jan,-0.01
1944,Jan,0.35
1945,Jan,0.1
1946,Jan,0.15
1947,Jan,-0.07
1948,Jan,0.06
1949,Jan,0.06
1950,Jan,-0.26
1951,Jan,-0.34
1952,Jan,0.11
1953,Jan,0.07
1954,Jan,-0.24
1955,Jan,0.13
1956,Jan,-0.13
1957,Jan,-0.09
1958,Jan,0.39
1959,Jan,0.08
1960,Jan,0.0
1961,Jan,0.07
1962,Jan,0.05
1963,Jan,-0.03
1964,Jan,-0.09
1965,Jan,-0.08
1966,Jan,-0.19
1967,Jan,-0.07
1968,Jan,-0.26
1969,Jan,-0.11
1970,Jan,0.08
1971,Jan,-0.02
1972,Jan,-0.23
1973,Jan,0.29
1974,Jan,-0.1
1975,Jan,0.1
1976,Jan,-0.03
1977,Jan,0.19
1978,Jan,0.06
1979,Jan,0.08
1980,Jan,0.29
1981,Jan,0.53
1982,Jan,0.05
1983,Jan,0.53
1984,Jan,0.31
1985,Jan,0.22
1986,Jan,0.26
1987,Jan,0.32
1988,Jan,0.57
1989,Jan,0.12
1990,Jan,0.42
1991,Jan,0.43
1992,Jan,0.48
1993,Jan,0.35
1994,Jan,0.26
1995,Jan,0.52
1996,Jan,0.24
1997,Jan,0.32
1998,Jan,0.58
1999,Jan,0.48
2000,Jan,0.25
2001,Jan,0.45
2002,Jan,0.77
2003,Jan,0.75
2004,Jan,0.58
2005,Jan,0.75
2006,Jan,0.56
2007,Jan,1.02
2008,Jan,0.3
2009,Jan,0.65
2010,Jan,0.75
2011,Jan,0.53
2012,Jan,0.47
2013,Jan,0.71
2014,Jan,0.77
2015,Jan,0.87
2016,Jan,1.18
2017,Jan,1.02
2018,Jan,0.82
2019,Jan,0.93
2020,Jan,1.18
2021,Jan,0.82
2022,Jan,0.91
2023,Jan,0.88
2024,Jan,1.25
2025,Jan,1.38
1880,Feb,-0.25
1881,Feb,-0.15
1882,Feb,0.13
1883,Feb,-0.37
1884,Feb,-0.09
1885,Feb,-0.34
1886,Feb,-0.51
1887,Feb,-0.58
1888,Feb,-0.37
1889,Feb,0.16
1890,Feb,-0.46
1891,Feb,-0.47
1892,Feb,-0.12
1893,Feb,-0.57
1894,Feb,-0.3
1895,Feb,-0.43
1896,Feb,-0.13
1897,Feb,-0.18
1898,Feb,-0.31
1899,Feb,-0.39
1900,Feb,-0.07
1901,Feb,-0.12
1902,Feb,-0.1
1903,Feb,-0.07
1904,Feb,-0.6
1905,Feb,-0.6
1906,Feb,-0.3
1907,Feb,-0.52
1908,Feb,-0.33
1909,Feb,-0.47
1910,Feb,-0.43
1911,Feb,-0.59
1912,Feb,-0.16
1913,Feb,-0.46
1914,Feb,-0.11
1915,Feb,-0.04
1916,Feb,-0.16
1917,Feb,-0.63
1918,Feb,-0.35
1919,Feb,-0.24
1920,Feb,-0.27
1921,Feb,-0.19
1922,Feb,-0.45
1923,Feb,-0.4
1924,Feb,-0.24
1925,Feb,-0.4
1926,Feb,0.02
1927,Feb,-0.18
1928,Feb,-0.09
1929,Feb,-0.59
1930,Feb,-0.27
1931,Feb,-0.21
1932,Feb,-0.18
1933,Feb,-0.3
1934,Feb,-0.03
1935,Feb,0.14
1936,Feb,-0.38
1937,Feb,0.03
1938,Feb,0.04
1939,Feb,-0.07
1940,Feb,0.08
1941,Feb,0.3
1942,Feb,0.02
1943,Feb,0.17
1944,Feb,0.24
1945,Feb,0.01
1946,Feb,0.02
1947,Feb,-0.08
1948,Feb,-0.15
1949,Feb,-0.14
1950,Feb,-0.27
1951,Feb,-0.41
1952,Feb,0.11
1953,Feb,0.15
1954,Feb,-0.1
1955,Feb,-0.16
1956,Feb,-0.24
1957,Feb,-0.03
1958,Feb,0.22
1959,Feb,0.07
1960,Feb,0.13
1961,Feb,0.19
1962,Feb,0.14
1963,Feb,0.18
1964,Feb,-0.1
1965,Feb,-0.17
1966,Feb,-0.04
1967,Feb,-0.21
1968,Feb,-0.14
1969,Feb,-0.18
1970,Feb,0.22
1971,Feb,-0.15
1972,Feb,-0.18
1973,Feb,0.32
1974,Feb,-0.27
1975,Feb,0.08
1976,Feb,-0.06
1977,Feb,0.23
1978,Feb,0.1
1979,Feb,-0.1
1980,Feb,0.39
1981,Feb,0.42
1982,Feb,0.15
1983,Feb,0.43
1984,Feb,0.14
1985,Feb,-0.04
1986,Feb,0.37
1987,Feb,0.43
1988,Feb,0.44
1989,Feb,0.3
1990,Feb,0.44
1991,Feb,0.5
1992,Feb,0.4
1993,Feb,0.37
1994,Feb,0.02
1995,Feb,0.79
1996,Feb,0.46
1997,Feb,0.41
1998,Feb,0.88
1999,Feb,0.64
2000,Feb,0.56
2001,Feb,0.44
2002,Feb,0.78
2003,Feb,0.58
2004,Feb,0.73
2005,Feb,0.6
2006,Feb,0.74
2007,Feb,0.7
2008,Feb,0.38
2009,Feb,0.53
2010,Feb,0.84
2011,Feb,0.48
2012,Feb,0.48
2013,Feb,0.62
2014,Feb,0.55
2015,Feb,0.91
2016,Feb,1.37
2017,Feb,1.14
2018,Feb,0.85
2019,Feb,0.96
2020,Feb,1.24
2021,Feb,0.64
2022,Feb,0.89
2023,Feb,0.97
2024,Feb,1.45
2025,Feb,1.26
1880,Mar,-0.1
1881,Mar,0.02
1882,Mar,0.04
1883,Mar,-0.13
1884,Mar,-0.37
1885,Mar,-0.27
1886,Mar,-0.43
1887,Mar,-0.36
1888,Mar,-0.42
1889,Mar,0.05
1890,Mar,-0.41
1891,Mar,-0.18
1892,Mar,-0.4
1893,Mar,-0.23
1894,Mar,-0.24
1895,Mar,-0.33
1896,Mar,-0.27
1897,Mar,-0.15
1898,Mar,-0.52
1899,Mar,-0.37
