Year,périodes,valeur
1880,Jan,-0.38
1881,Jan,-0.32
1882,Jan,0.24
1883,Jan,-0.59
1884,Jan,-0.18
1885,Jan,-1.02
1886,Jan,-0.76
1887,Jan,-1.1
1888,Jan,-0.5
1889,Jan,-0.3
1890,Jan,-0.66
1891,Jan,-0.47
1892,Jan,-0.51
1893,Jan,-1.51
1894,Jan,-0.93
1895,Jan,-0.72
1896,Jan,-0.39
1897,Jan,-0.42
1898,Jan,0.02
1899,Jan,-0.15
1900,Jan,-0.64
1901,Jan,-0.36
1902,Jan,-0.15
1903,Jan,-0.25
1904,Jan,-0.78
1905,Jan,-0.43
1906,Jan,-0.57
1907,Jan,-0.6
1908,Jan,-0.56
1909,Jan,-0.95
1910,Jan,-0.37
1911,Jan,-0.72
1912,Jan,-0.37
1913,Jan,-0.57
1914,Jan,0.15
1915,Jan,-0.28
1916,Jan,-0.12
1917,Jan,-0.54
1918,Jan,-0.71
1919,Jan,-0.39
1920,Jan,-0.17
1921,Jan,0.17
1922,Jan,-0.4
1923,Jan,-0.18
1924,Jan,-0.28
1925,Jan,-0.28
1926,Jan,0.53
1927,Jan,-0.29
1928,Jan,0.25
1929,Jan,-0.56
1930,Jan,-0.13
1931,Jan,0.0
1932,Jan,0.37
1933,Jan,-0.2
1934,Jan,-0.15
1935,Jan,-0.41
1936,Jan,-0.29
1937,Jan,0.08
1938,Jan,0.35
1939,Jan,0.02
1940,Jan,-0.11
1941,Jan,0.17
1942,Jan,0.39
1943,Jan,-0.1
1944,Jan,0.62
1945,Jan,0.11
1946,Jan,0.34
1947,Jan,-0.04
1948,Jan,0.3
1949,Jan,0.22
1950,Jan,-0.29
1951,Jan,-0.36
1952,Jan,0.17
1953,Jan,0.24
1954,Jan,-0.24
1955,Jan,0.43
1956,Jan,-0.04
1957,Jan,-0.13
1958,Jan,0.69
1959,Jan,0.24
1960,Jan,0.15
1961,Jan,0.17
1962,Jan,0.27
1963,Jan,0.08
1964,Jan,-0.04
1965,Jan,-0.02
1966,Jan,-0.25
1967,Jan,-0.18
1968,Jan,-0.29
1969,Jan,-0.43
1970,Jan,-0.03
1971,Jan,-0.15
1972,Jan,-0.54
1973,Jan,0.15
1974,Jan,-0.26
1975,Jan,0.16
1976,Jan,0.05
1977,Jan,-0.16
1978,Jan,0.16
1979,Jan,-0.05
1980,Jan,0.21
1981,Jan,0.8
1982,Jan,-0.14
1983,Jan,0.55
1984,Jan,0.33
1985,Jan,0.07
1986,Jan,0.36
1987,Jan,0.25
1988,Jan,0.59
1989,Jan,0.08
1990,Jan,0.47
1991,Jan,0.59
1992,Jan,0.61
1993,Jan,0.39
1994,Jan,0.34
1995,Jan,0.75
1996,Jan,0.27
1997,Jan,0.34
1998,Jan,0.62
1999,Jan,0.59
2000,Jan,0.38
2001,Jan,0.56
2002,Jan,1.02
2003,Jan,0.93
2004,Jan,0.67
2005,Jan,0.95
2006,Jan,0.65
2007,Jan,1.45
2008,Jan,0.33
2009,Jan,0.82
2010,Jan,0.8
2011,Jan,0.62
2012,Jan,0.65
2013,Jan,0.85
2014,Jan,0.98
2015,Jan,1.19
2016,Jan,1.56
2017,Jan,1.38
2018,Jan,1.13
2019,Jan,1.19
2020,Jan,1.59
2021,Jan,1.26
2022,Jan,1.24
2023,Jan,1.29
2024,Jan,1.67
2025,Jan,1.84
1880,Feb,-0.53
1881,Feb,-0.24
1882,Feb,0.2
1883,Feb,-0.67
1884,Feb,-0.12
1885,Feb,-0.47
