Year,périodes,valeur
1880,Jan,-0.01
1881,Jan,-0.09
1882,Jan,0.06
1883,Jan,-0.03
1884,Jan,-0.09
1885,Jan,-0.2
1886,Jan,-0.15
1887,Jan,-0.37
1888,Jan,-0.2
1889,Jan,0.08
1890,Jan,-0.21
1891,Jan,-0.21
1892,Jan,-0.09
1893,Jan,-0.13
1894,Jan,-0.14
1895,Jan,-0.13
1896,Jan,-0.09
1897,Jan,0.09
1898,Jan,-0.1
1899,Jan,-0.2
1900,Jan,-0.1
1901,Jan,-0.11
1902,Jan,-0.19
1903,Jan,-0.25
1904,Jan,-0.52
1905,Jan,-0.28
1906,Jan,0.01
1907,Jan,-0.28
1908,Jan,-0.35
1909,Jan,-0.51
1910,Jan,-0.51
1911,Jan,-0.54
1912,Jan,-0.17
1913,Jan,-0.25
1914,Jan,-0.08
1915,Jan,-0.14
1916,Jan,-0.16
1917,Jan,-0.64
1918,Jan,-0.28
1919,Jan,-0.01
1920,Jan,-0.34
1921,Jan,-0.29
1922,Jan,-0.29
1923,Jan,-0.38
1924,Jan,-0.17
1925,Jan,-0.51
1926,Jan,-0.11
1927,Jan,-0.26
1928,Jan,-0.29
1929,Jan,-0.34
1930,Jan,-0.48
1931,Jan,-0.19
1932,Jan,-0.09
1933,Jan,-0.28
1934,Jan,-0.3
1935,Jan,-0.27
1936,Jan,-0.26
1937,Jan,-0.24
1938,Jan,-0.19
1939,Jan,-0.15
1940,Jan,0.11
1941,Jan,0.2
1942,Jan,0.18
1943,Jan,0.06
1944,Jan,0.08
1945,Jan,0.1
1946,Jan,-0.04
1947,Jan,-0.08
1948,Jan,-0.18
1949,Jan,-0.1
1950,Jan,-0.23
1951,Jan,-0.34
1952,Jan,0.07
1953,Jan,-0.09
1954,Jan,-0.24
1955,Jan,-0.17
1956,Jan,-0.23
1957,Jan,-0.04
1958,Jan,0.1
1959,Jan,-0.08
1960,Jan,-0.15
1961,Jan,-0.03
1962,Jan,-0.17
1963,Jan,-0.14
1964,Jan,-0.13
1965,Jan,-0.15
1966,Jan,-0.13
1967,Jan,0.03
1968,Jan,-0.24
1969,Jan,0.23
1970,Jan,0.2
1971,Jan,0.09
1972,Jan,0.1
1973,Jan,0.43
1974,Jan,0.05
1975,Jan,0.03
1976,Jan,-0.12
1977,Jan,0.52
1978,Jan,-0.03
1979,Jan,0.22
1980,Jan,0.38
1981,Jan,0.25
1982,Jan,0.24
1983,Jan,0.51
1984,Jan,0.28
1985,Jan,0.37
1986,Jan,0.15
1987,Jan,0.39
1988,Jan,0.54
1989,Jan,0.16
1990,Jan,0.35
1991,Jan,0.26
1992,Jan,0.34
1993,Jan,0.3
1994,Jan,0.19
1995,Jan,0.3
1996,Jan,0.22
1997,Jan,0.3
1998,Jan,0.55
1999,Jan,0.37
2000,Jan,0.11
2001,Jan,0.34
2002,Jan,0.51
2003,Jan,0.57
2004,Jan,0.5
2005,Jan,0.54
2006,Jan,0.47
2007,Jan,0.58
2008,Jan,0.26
2009,Jan,0.47
2010,Jan,0.7
2011,Jan,0.42
2012,Jan,0.29
2013,Jan,0.57
2014,Jan,0.55
2015,Jan,0.54
2016,Jan,0.8
2017,Jan,0.66
2018,Jan,0.51
2019,Jan,0.67
